"District","week","TForce"
"Al Resafa",2384,0.241387965
"Al Resafa",2385,0.241387965
"Al Resafa",2386,0.241387965
"Al Resafa",2387,0.241387965
"Al Resafa",2388,0.241387965
"Al Resafa",2389,0.241387965
"Al Resafa",2390,0.241387965
"Al Resafa",2391,0.241387965
"Al Resafa",2392,0.092594182
"Al Resafa",2393,0.092594182
"Al Resafa",2394,0.092594182
"Al Resafa",2395,0.092594182
"Al Resafa",2396,0.092594182
"Al Resafa",2397,0.092594182
"Al Resafa",2398,0.092594182
"Al Resafa",2399,0.092594182
"Al Resafa",2400,0.092594182
"Al Resafa",2401,0.092594182
"Al Resafa",2402,0.092594182
"Al Resafa",2403,0.092594182
"Al Resafa",2404,0.092594182
"Al Resafa",2405,0.092594182
"Al Resafa",2406,0.092594182
"Al Resafa",2407,0.092594182
"Al Resafa",2408,0.092594182
"Al Resafa",2409,0.092594182
"Al Resafa",2410,0.092594182
"Al Resafa",2411,0.092594182
"Al Resafa",2412,0.092594182
"Al Resafa",2413,0.092594182
"Al Resafa",2414,0.563888165
"Al Resafa",2415,0.563888165
"Al Resafa",2416,0.563888165
"Al Resafa",2417,0.563888165
"Al Resafa",2418,0.563888165
"Al Resafa",2419,0.563888165
"Al Resafa",2420,0.563888165
"Al Resafa",2421,0.563888165
"Al Resafa",2422,0.563888165
"Al Resafa",2423,0.563888165
"Al Resafa",2424,0.563888165
"Al Resafa",2425,0.563888165
"Al Resafa",2426,0.563888165
"Al Resafa",2427,0.563888165
"Al Resafa",2428,0.563888165
"Al Resafa",2429,0.563888165
"Al Resafa",2430,0.563888165
"Al Resafa",2431,0.563888165
"Al Resafa",2432,0.563888165
"Al Resafa",2433,0.563888165
"Al Resafa",2434,0.563888165
"Al Resafa",2435,0.563888165
"Al Resafa",2436,0.845832247
"Al Resafa",2437,0.845832247
"Al Resafa",2438,0.845832247
"Al Resafa",2439,0.845832247
"Al Resafa",2440,0.845832247
"Al Resafa",2441,0.845832247
"Al Resafa",2442,0.845832247
"Al Resafa",2443,0.845832247
"Al Resafa",2444,0.903923455
"Al Resafa",2445,0.903923455
"Al Resafa",2446,0.903923455
"Al Resafa",2447,0.903923455
"Al Resafa",2448,0.903923455
"Al Resafa",2449,0.499215736
"Al Resafa",2450,0.499215736
"Al Resafa",2451,0.499215736
"Al Resafa",2452,0.499215736
"Al Resafa",2453,0.670702057
"Al Resafa",2454,0.670702057
"Al Resafa",2455,0.670702057
"Al Resafa",2456,0.670702057
"Al Resafa",2457,1.13104756
"Al Resafa",2458,1.13104756
"Al Resafa",2459,1.13104756
"Al Resafa",2460,1.13104756
"Al Resafa",2461,1.13104756
"Al Resafa",2462,1.13104756
"Al Resafa",2463,1.13104756
"Al Resafa",2464,1.13104756
"Al Resafa",2465,1.13104756
"Al Resafa",2466,1.13104756
